Code|RUES|"Service des Impôts des Particuliers
(SIP)"|Secteur d'assiette (SA)|Trésorerie|Service des Impôts des Entreprises (SIE)|Pôle enregis-trement (PE)|"Service de Publicité Foncière 
(SPF) "|||||||
0160|ALEXANDRE SOUMET (RUE)|B|1|0092|B|TO3|TO1|||||||
0162|ALEXANDRE YERSIN (IMP)|TC|3|0027|TC|TO3|TO1|||||||
0164|ALEXIS TOCQUEVILLE (IMP)|B|1|0092|B|TO3|TO1|||||||
0168|ALEXIS TOCQUEVILLE (RUE)|B|1|0092|B|TO3|TO1|||||||
0169|ALFONSE JOURDAIN(PLACE)|TNO|4|0064|TNO|TO3|TO1|||||||
0171|CAPITAINE ALFRED DREYFUS (RPT)|B|1|0092|B|TO3|TO1|||||||
0172|ALFRED DE MUSSET (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
0176|ALFRED DE VIGNY (RUE)|TR|1|0065|TR|TO3|TO1|||||||
0180|ALFRED DUMERIL (IMP)|TR|3|0065|TR|TO3|TO1|||||||
0184|ALFRED DUMERIL (RUE)|TR|3|0065|TR|TO3|TO1|||||||
0188|ALFRED GRANDIDIER (RUE)|TSE|1|0028|TR|TO3|TO1|||||||
0192|ALFRED MAYSSONNIE (ALL)|TSO|1|0029|TMI|TO3|TO1|||||||
0196|ALFRED NOBEL (RUE)|TN|3|0063|TN|TO3|TO1|||||||
0199|ALFRED RAMBAUD (IMP)|TR|2|0065|TR|TO3|TO1|||||||
0200|ALFRED RAMBAUD (RUE)|TR|2|0065|TR|TO3|TO1|||||||
0203|ALICE GUY (IMP)|TO|2|0018|TMI|TO3|TO2|||||||
0204|ALGER (RUE D')|B|1|0092|B|TO3|TO1|||||||
0206|LLAGONE (RUE DE LA)|TO|3|0018|TMI|TO3|TO2|||||||
0207|ALLIER (IMP DE)|B|1|0092|B|TO3|TO1|||||||
0208|ALLIER (RUE DE L')|B|1|0092|B|TO3|TO1|||||||
0210|ALMODIS (RUE)|B|1|0092|B|TO3|TO1|||||||
0212|ALOUETTES (RUE DES)|TN|1|0063|TN|TO3|TO1|||||||
0214|ALPAGES (RUE DES)|TR|2|0065|TR|TO3|TO1|||||||
